0	1.534080e+13
1	1.400255e+13
2	1.097468e+13
3	7.758683e+12
4	4.905664e+12
5	2.474342e+12
6	1.043753e+12
7	3.868061e+11
8	1.067656e+11
9	3.232012e+10
10	1.980889e+10
11	1.978926e+10
12	3.598915e+10
13	5.546072e+10
14	7.435433e+10
15	8.050530e+10
16	7.453081e+10
17	5.781472e+10
18	3.816760e+10
19	2.130701e+10
20	1.060393e+10
21	5.472759e+09
22	5.152248e+09
23	8.302831e+09
24	1.347473e+10
25	2.023114e+10
26	2.725969e+10
27	3.357390e+10
28	3.914952e+10
29	4.390270e+10
30	4.754630e+10
31	4.939507e+10
32	4.940641e+10
33	4.729502e+10
34	4.413922e+10
35	3.899327e+10
36	3.294003e+10
37	2.762682e+10
38	2.232580e+10
39	1.807830e+10
40	1.480419e+10
41	1.185587e+10
42	1.052989e+10
43	9.325337e+09
44	8.759964e+09
45	8.496282e+09
46	8.106202e+09
47	7.227085e+09
48	6.630856e+09
49	5.393169e+09
50	5.035184e+09
51	5.242607e+09
52	6.521344e+09
53	8.221465e+09
54	1.096610e+10
55	1.425423e+10
56	1.831939e+10
57	2.399913e+10
58	3.033402e+10
59	3.964929e+10
60	4.707504e+10
61	5.321137e+10
62	5.536171e+10
63	5.551652e+10
64	4.791787e+10
65	3.833026e+10
66	2.680270e+10
67	1.715833e+10
68	9.521610e+09
69	5.259272e+09
70	4.115274e+09
71	4.469199e+09
72	5.562456e+09
73	6.101349e+09
74	6.051255e+09
75	5.394483e+09
76	4.521610e+09
77	4.325705e+09
78	4.609145e+09
79	5.549641e+09
80	6.707246e+09
81	7.543935e+09
82	7.914364e+09
83	7.561815e+09
84	6.782265e+09
85	5.861680e+09
86	4.862643e+09
87	4.040543e+09
88	3.579411e+09
89	3.546485e+09
90	3.974068e+09
91	4.924167e+09
92	6.437950e+09
93	8.415615e+09
94	9.670994e+09
95	1.090976e+10
96	1.080132e+10
97	1.070196e+10
98	9.220040e+09
99	7.630207e+09
100	6.576707e+09
101	5.248930e+09
102	4.609861e+09
103	3.987413e+09
104	3.763845e+09
105	3.716550e+09
106	3.633579e+09
107	3.734117e+09
108	3.647461e+09
109	3.639842e+09
110	3.539873e+09
111	3.153337e+09
112	2.862332e+09
113	2.369428e+09
114	2.121504e+09
115	1.813327e+09
116	1.755930e+09
117	1.852574e+09
118	2.115483e+09
119	2.348463e+09
120	2.482274e+09
121	2.515933e+09
122	2.342162e+09
123	1.958300e+09
124	1.592829e+09
125	1.228439e+09
126	9.513677e+08
127	7.506952e+08
128	6.389485e+08
129	5.707312e+08
130	5.226723e+08
131	5.253141e+08
132	5.391859e+08
133	5.875361e+08
134	6.303788e+08
135	6.528811e+08
136	6.493988e+08
137	6.292778e+08
138	6.078795e+08
139	6.059640e+08
140	6.136610e+08
141	6.156007e+08
142	6.308329e+08
143	6.163086e+08
144	5.894256e+08
145	5.892186e+08
146	5.961442e+08
147	5.746958e+08
148	5.586556e+08
149	5.065361e+08
150	4.655603e+08
151	4.286772e+08
152	4.079052e+08
153	4.355189e+08
154	4.931667e+08
155	5.386641e+08
156	5.818901e+08
157	5.901412e+08
158	6.041433e+08
159	5.841839e+08
160	5.588843e+08
161	5.329819e+08
162	4.812551e+08
163	4.284524e+08
164	3.871853e+08
165	3.328453e+08
166	3.031065e+08
167	2.651699e+08
168	2.444759e+08
169	2.245034e+08
170	2.058088e+08
171	1.970296e+08
172	1.872310e+08
173	1.885370e+08
174	1.887058e+08
175	1.871536e+08
176	1.852210e+08
177	1.721964e+08
178	1.736465e+08
179	1.629395e+08
180	1.575464e+08
181	1.602029e+08
182	1.454396e+08
183	1.440484e+08
184	1.407139e+08
185	1.419670e+08
186	1.473682e+08
187	1.459981e+08
188	1.326846e+08
189	1.181793e+08
190	1.054203e+08
191	9.899723e+07
192	1.050464e+08
193	1.132954e+08
194	1.193491e+08
195	1.245338e+08
196	1.183734e+08
197	1.148894e+08
198	1.108000e+08
199	1.181386e+08
